Time,Open,High,Low,Last,Change,%Chg,Volume,Difference
09-Aug-19,11087.9,11181.45,11062.8,11109.65,77.2,0.70%,0,0.500094698
13-Aug-19,11139.4,11145.9,10901.6,10925.85,-183.8,-1.65%,0,0.26707004
14-Aug-19,11003.25,11078.15,10935.6,11029.4,103.55,0.95%,0,0.703428532
16-Aug-19,11043.65,11068.65,10924.3,11047.8,18.4,0.17%,0,0.129033426
19-Aug-19,11094.8,11146.9,11037.85,11053.9,6.1,0.06%,0,0.423621877
20-Aug-19,11063.9,11076.3,10985.3,11017,-36.9,-0.33%,0,0.090384042
21-Aug-19,11018.15,11034.2,10906.65,10918.7,-98.3,-0.89%,0,0.010437324
22-Aug-19,10905.3,10908.25,10718.3,10741.35,-177.35,-1.62%,0,-0.122876033
23-Aug-19,10699.6,10862.55,10637.15,10829.35,88,0.82%,0,-0.390201503
26-Aug-19,11000.3,11070.3,10756.55,11057.85,228.5,2.11%,0,1.554048526
27-Aug-19,11106.55,11141.75,11049.5,11105.35,47.5,0.43%,0,0.438479996
28-Aug-19,11101.3,11129.65,10987.65,11046.1,-59.25,-0.53%,0,-0.036482214
29-Aug-19,10996.05,11021.1,10922.4,10948.3,-97.8,-0.89%,0,-0.455163445
30-Aug-19,10987.8,11042.6,10874.8,11023.25,74.95,0.68%,0,0.359489616
03-Sep-19,10960.95,10967.5,10772.7,10797.9,-225.35,-2.04%,0,-0.56838139
04-Sep-19,10790.4,10858.75,10746.35,10844.65,46.75,0.43%,0,-0.069506228
05-Sep-19,10860.95,10920.1,10816,10847.9,3.25,0.03%,0,0.150078953
